PC1,PC2,tSNE1,tSNE2,UMAP1,UMAP2,cluster
1.0138454067032956,-0.2676009113078541,14.859801,-16.67048,7.5098653,1.2866744,3
4.0236703633628395,0.46675859220961274,1.5419173,-25.370771,8.812953,0.78816795,0
2.9464930660275295,-0.1403088143797055,-1.3183749,-17.361395,8.5931425,1.7780628,0
4.201206564445268,-0.680789884298716,6.668866,-30.295649,8.872296,-0.2480232,0
-1.6381034774180403,2.8396445342994707,-5.3562317,29.950735,-0.7575259,2.5076895,1
-2.9298551567724376,-2.248855376930656,-3.3265927,0.5688663,7.1934977,4.497752,2
-1.9868477655698595,4.354706282218619,-16.17703,29.521381,-1.3138707,1.5355258,1
4.7613320101542564,-1.6982010565769838,9.032948,-20.97999,8.150134,1.1511896,0
-3.0719151842989683,-1.823691576750049,1.408413,6.039322,6.612755,5.3405714,2
1.061071371556938,0.17117932502115327,-1.2557786,-14.794771,8.096095,1.7385724,3
-1.8223302696975578,4.535421983474211,-10.944502,31.859228,-1.05691,2.9898667,1
5.129178875569906,1.036221979912972,6.4335027,-31.091461,8.890604,-0.33438846,0
4.5249967639022985,-0.7061416590111772,6.7783313,-31.629898,8.828052,-0.32150835,0
-0.02362689732986089,5.800384179320418,-7.249591,27.4727,-0.5668257,2.0737054,1
0.32832081393362433,4.862357814054374,-18.459507,28.63227,-1.9131253,1.9059591,1
-0.7884978342143671,3.8946881611051087,-9.104427,25.959606,-0.9836161,2.3299341,1
-3.6548445483267558,-2.2641119094393747,-5.4431047,1.5113646,7.165842,5.3814373,2
0.8142479717613915,-2.8696464955445133,3.3376453,-14.246443,7.9388723,2.6776776,3
-2.414261013693703,-0.88338576372653,-4.3456836,8.062396,6.9673176,3.932905,2
-2.099894065844066,-2.521667634124491,3.932542,-0.14996356,7.9169145,4.6641517,2
-2.242421540217936,-2.3310448229503637,3.008687,-1.4303051,7.7460365,4.7245517,2
-1.6900768557039378,3.235684907504861,-9.614226,23.26214,-1.2710769,2.056029,1
-1.2166784567227351,2.099582531704913,-4.619182,26.227968,-0.5256462,1.967232,1
-0.9799549436109676,-2.149223864371561,-3.0824134,-8.801793,8.055123,3.1543596,3
-0.9288929162495052,-0.9354629908833147,-3.0714047,-8.809234,7.3531885,3.0612593,3
3.065155263440227,-0.5639063108309984,2.567299,-23.143175,8.844948,1.3009892,0
-1.3510313425426659,2.764084597007837,-6.104764,28.761961,-0.44068518,2.2607033,1
-3.186848140561191,-2.212733845357009,3.538368,10.351652,6.2579017,5.6023445,2
4.0242599757037985,-0.8047077096612255,8.376245,-22.07986,8.197497,0.75161994,0
-2.7200870940786235,-2.574198055184501,1.2467153,10.902888,6.20985,4.5831304,2
-0.30089646905553086,-2.438795162259056,9.293241,-9.629628,6.936122,2.3757608,3
-3.3438991387990162,-2.3666994354554456,-1.3982747,12.646393,6.5642695,5.3364496,2
-1.75943348684619,1.8645143582779147,-15.743418,25.163338,-1.5228981,2.31093,1
4.000021315100613,-0.8653620535685546,3.2226958,-25.21318,8.720752,1.206505,0
3.6706557991433164,1.8634322564275185,2.0072367,-20.074636,7.8300424,1.2551343,0
3.970943031174772,0.3294411854332837,2.978395,-26.082401,9.293002,0.7101534,0
-0.8202457426405112,2.9914277161877423,-10.86288,26.922684,-1.4057834,2.2697911,1
-1.6801042604612535,3.584826504547458,-14.968883,24.336061,-1.8921728,1.7138984,1
1.1670116331188076,-2.525663944242962,-3.6093328,-15.125137,7.323971,2.5556018,3
-2.6331039375035763,-3.078166936564082,0.72753954,0.48794624,7.0347843,4.2746515,2
-4.57387078603039,-1.0114205867464063,1.9099137,2.5754256,7.8181343,5.644073,2
-1.4618550486006732,-3.1690183483004533,2.2228673,6.7994933,6.963127,5.491964,2
-1.4509099809498756,4.4264690732542284,-10.48664,29.69292,-1.0606858,2.770567,1
0.6218861090182306,-1.6469187204608395,-0.9196609,-12.706896,7.3169475,2.6978028,3
-2.156333233961594,-1.5011396277255777,-8.488221,5.440355,7.5010014,4.273896,2
-3.3064853647128647,-2.396670343521643,6.0888333,2.7595773,6.9827676,5.3487315,2
-2.933887211416357,-2.738463117151142,0.6070815,2.478851,6.9766555,4.7948155,2
-2.837724921699076,-3.899118267944123,-5.105789,9.354702,6.950879,4.2529764,2
1.2112400326074646,-0.4620158818321073,12.669332,-20.093552,9.044186,1.3281201,3
-2.122132296995976,3.9431246917823137,-10.255141,30.49803,-1.1426909,2.6748936,1
3.1397127145172865,-0.4802349826790461,14.719543,-25.748316,9.299302,0.9000169,0
3.0587301589490634,-0.8860662923439756,8.931687,-17.735985,8.441993,1.4584342,0
3.4146590697909063,-0.5023847196458388,2.5916495,-27.92037,9.13783,0.40036485,0
-0.21052018327980293,-0.49748613472913106,8.772394,-6.854206,6.5116053,3.6721718,3
-0.85958302117616,-0.18321360347171253,-4.3365808,-9.80144,7.39096,2.853903,3
0.24242174122812357,-0.5591406399889981,-1.9156996,-10.176307,7.571805,2.845444,3
-1.1705291571059042,4.117106636576573,-6.1087785,27.668163,-0.5932878,2.2613945,1
-1.576662620853031,4.823232460570401,-12.872208,27.807915,-2.0159814,2.3359964,1
-1.0701568650111442,3.4209364075862494,-14.962705,21.329037,-1.3714999,1.880819,1
-3.14684167326093,3.1257889245533588,-12.866411,33.771362,-0.91347295,2.5707564,1
-2.978114343830817,-2.3469105651833555,0.0033238544,6.1411734,6.645043,4.8318763,2
-0.24409196554155288,4.332604743903736,-9.18006,24.238293,-1.3569891,2.1081738,1
3.044957874716425,-1.0018104888939625,2.1684005,-18.339254,8.650185,1.4924046,0
1.0167702226963764,-2.3109066490473764,-7.0533457,-13.51683,7.9036436,3.0375705,3
-2.4120844337520646,2.2851106631280533,-14.053644,24.011927,-1.3868991,1.6631681,1
-1.378023442501404,-1.102375256233259,11.238844,0.39801937,6.111804,4.275645,2
-3.574841184126394,4.985202913599993,-9.841929,36.51858,-1.4380699,2.678287,1
-1.1579335196534373,-0.8385566000707382,-7.5442686,-6.8729286,7.025262,3.5984867,3
-1.9473539691025281,3.3968130237250005,-2.612126,28.829031,-0.5581625,1.9949572,1
2.398150213679833,-0.6512964646282251,2.276423,-17.31097,7.999816,1.7029314,0
4.644317771654268,0.2793213791927913,4.5851197,-31.123278,8.977244,-0.07102129,0
-1.0027525501438201,2.889627376010942,-9.395028,27.03098,-0.9403144,1.9056917,1
-2.514373018389005,-2.0875699787377324,2.397406,12.498023,6.048799,4.684897,2
1.1724823421578499,-1.8428701662304263,3.8860247,-12.320616,7.8667502,2.2130113,3
-2.4733908682850516,-2.112963986402349,9.5171995,4.425608,7.0563636,4.9034443,2
-2.752975206784335,-3.435431316036196,10.70345,6.515589,6.0699964,5.547136,2
3.883851669821362,-1.4273864712303894,12.5362625,-25.105894,8.249096,0.21396317,0
-2.810912166260852,-1.9303443238787417,4.5015182,1.8219199,7.4971414,5.4838367,2
0.16144584545299517,-1.386546011933382,-5.050914,-8.317047,7.7935314,3.301443,3
-1.1309670785621313,-1.1127966171051138,3.1499462,-4.830437,7.703675,3.9202003,2
3.9041564614053006,-1.8662010471700037,4.3841443,-22.03156,7.7458344,0.8552814,0
3.321561488290565,-0.2956609639574446,9.603247,-19.930578,8.636604,0.7929668,0
-1.5310562519525472,4.902698205953969,-15.991709,28.326237,-1.6898828,1.7009277,1
-0.8455696915558022,2.712311272586878,-13.637341,25.341934,-2.106332,1.825128,1
-1.309646205982608,5.917603279015084,-16.49913,35.394344,-1.8020622,2.1804519,1
-3.396189965540921,-2.790250730430281,7.8855877,2.175165,7.4252157,5.6511874,2
-3.8283863759424626,-3.5281026188559506,-0.76793957,9.827589,7.324597,5.671049,2
3.445200544340856,-1.3283978855145029,6.9881964,-17.923035,7.7254105,1.3238646,3
4.825411149152335,-1.0140432355169995,5.1433816,-18.764158,7.810179,1.2975363,0
5.782050340868534,-0.529075918095629,8.430722,-25.172888,8.259755,0.2689212,0
-2.9609263057154944,-2.06875566224067,6.166443,5.7246,6.943684,5.831068,2
1.2709372989352063,0.17804925923576387,9.825456,-15.143754,7.485095,3.084454,3
4.406720611441373,2.4292440498867274,4.083582,-32.7435,9.141814,0.107273296,0
-0.12006682360003057,-1.3495253289644602,2.8326054,-9.215272,7.3018265,3.3751504,3
2.055117488171101,-1.640110097942276,-3.5762415,-18.930794,8.637103,2.49265,0
3.969187268870691,-0.49613731402250316,-5.032891,-23.871244,8.380779,1.0468025,0
3.293829500433907,-1.1832511743906111,3.3413877,-21.481823,7.595723,0.9339838,0
-0.33428247723515786,-1.7063275623972494,3.2958298,-5.960972,7.8005147,3.5621846,3
-4.048304940046881,-3.3498197746852933,4.381912,11.712596,6.8415055,5.4133763,2
-1.1475335845097838,4.315225849613736,-12.448319,25.114847,-1.3851022,1.7141275,1
-0.9371278303393907,4.062431534274834,-10.545437,23.38848,-0.91068816,2.2405996,1
-2.3662920314688587,-1.1699040919024106,-0.53010654,3.6870193,6.551831,5.1954975,2
-1.463878581282207,-3.292927265289197,0.725003,-1.9723816,7.024353,4.3361716,2
4.570192446380411,-0.710649892120246,8.139136,-30.216103,8.886346,0.035992824,0
3.373938020678161,0.37409129087880083,3.1918392,-21.51145,7.5661397,0.9445359,0
-2.290785499447302,3.6096345641560985,-11.753067,26.83108,-1.3375566,1.9026885,1
-3.225182814221053,-2.2450884485189118,1.928413,-1.4244407,6.9828534,4.6900063,2
4.5682049217995715,-0.03162808917221393,10.916698,-24.649559,8.376467,0.39376375,0
-3.033219053021206,-2.757400350405553,7.5026217,11.250728,7.056067,4.6648817,2
-2.0640556034760364,3.4960636404400893,-3.0530825,30.009325,-0.45383555,2.7713726,1
-2.7370609322015804,3.966763521362329,-20.485983,27.308449,-0.8058386,2.8468366,1
-0.8972645496320182,-0.12144348789624657,7.5510035,-1.3156135,7.5265293,5.0098214,2
1.3125789953311204,-0.40953810776313576,5.4354625,-14.17469,7.2399106,1.8927271,3
4.186976096961291,1.1744389893482667,5.7303534,-30.057615,9.015351,-0.20497091,0
-2.4023163331544457,-2.8820785927498336,9.534776,8.6629715,7.444916,5.667439,2
1.7867729021537206,0.15198450094059135,13.468324,-13.869191,8.756473,2.5348935,3
-0.2906512175430568,-2.341086361805695,5.4688864,-5.9919844,7.1531014,3.5401094,3
-0.43583512922654977,3.680227784712362,-5.1335273,24.440887,-1.2909337,2.6033585,1
4.0564581990176665,1.8310830752517542,2.0534284,-31.979174,9.421969,0.3802166,0
-2.9281643786636673,-4.171332828284213,-6.5802355,0.5494355,6.936667,5.1034718,2
0.24979975175979496,-1.6117620758791247,4.833104,-8.235863,7.608826,2.7736194,3
3.888562170392778,1.4515429437914862,1.1376526,-31.666292,9.490366,0.3271635,0
-2.960964205747922,4.232278912559047,-13.722295,33.716656,-1.0627443,1.6820982,1
-1.5951605297359854,4.298457643190297,-9.425349,32.331932,-1.3651992,3.1822615,1
-0.3414991219326765,3.0375387422715114,-18.305773,26.503809,-1.7880155,1.5959417,1
-2.052020219257268,-1.339780836701313,-4.859703,2.9515169,6.2822266,4.505754,2
0.21259313412638525,-1.2966572091378001,7.9484897,-9.216077,7.2351055,2.7756445,3
2.086122984161233,-0.02408332402564443,9.024078,-23.870932,8.587964,0.34550485,0
-3.698950129825702,-1.4683039475785664,0.8827294,3.60269,7.073894,5.461631,2
4.659620795631492,-1.0766557480594112,14.584695,-21.955784,8.784749,0.7212597,0
-0.167678618868764,-1.3736491188729183,7.5022697,-14.3685255,7.352443,1.7244538,3
-2.312843633335636,5.9545462657255355,-15.77462,27.736538,-1.6240205,1.59254,1
-2.701500169797631,-1.8914906061741386,0.49039918,7.846197,6.4008527,5.549249,2
-2.5665472073749114,3.7443530875608935,-9.78752,33.843185,-1.6269959,2.7789323,1
1.3294203712428172,-2.526351813128569,-1.4019076,-6.3972197,8.29531,3.3717608,3
-1.2924704257217805,3.6421080156181174,-12.024149,29.788221,-1.4562078,2.4012403,1
0.2678637038346095,-1.1363652960751218,1.6985751,-14.632107,8.207637,2.2284439,3
-1.945203186829469,-1.6785786015666864,-4.890948,-0.3980415,7.185326,4.302391,2
0.6749225418902797,-1.4048304988795797,3.6982565,-9.557358,7.1541038,3.0944822,3
3.3279373327387063,-1.3226426785986414,-3.6759617,-24.63072,8.191238,0.7229699,0
-0.07080568801130417,-0.6885004982991069,-1.6114583,-11.339218,7.9739304,2.5137239,3
-1.6714663433163908,3.183691412947104,-16.73623,31.711897,-1.8485748,2.5201201,1
0.6409857895598735,-1.0688319272919653,5.4167457,-12.241898,7.566667,2.386028,3
-1.521720341589281,4.8675820146765245,-11.603595,30.333677,-1.5521424,2.5445607,1
-1.855073618570967,-2.4946776204564305,5.0845876,-2.4204364,8.008779,4.8052773,2
-1.1292766429483079,5.273372815338575,-7.9196477,32.168312,-1.1367092,3.047397,1
1.6711346280487536,0.480655029053906,3.1403549,-17.055647,7.951069,1.809221,3
0.4303742730574984,0.721793839525278,10.007009,-12.6619005,8.284629,2.4700725,3
-3.030405482752561,-3.679497283543698,-2.9812543,4.9310646,6.2241344,4.496266,2
-1.624329513734721,-3.167374573853347,7.781033,6.976856,6.1025,5.2890334,2
3.2622429817682628,-0.9749804940636172,6.939084,-25.80219,9.33475,0.55398726,0
-1.5341855955250154,4.491183897778666,-13.743269,30.596395,-2.042458,2.1483727,1
0.2590225116669857,3.7816929532529793,-4.2184563,23.268898,-1.6436559,3.0284693,1
-3.162327189727439,-4.740439945235095,0.94265515,-2.056512,7.4015374,4.9628515,2
4.237859906350354,-0.12708134363515264,11.831793,-26.252993,8.154369,0.14105806,0
-1.7100062583794384,2.975096792181421,-14.122243,25.050964,-1.9113467,1.6584492,1
0.5211845458896984,-1.4224176401487414,1.1663425,-8.150722,8.081064,2.8782496,3
4.16621149497115,0.48115647190017247,1.7792926,-25.002378,8.59749,0.5618115,0
-1.7193763880740347,2.830375516419335,-6.281076,23.332502,-1.1045586,2.2041035,1
-2.0126978066228793,-2.4938597401528235,3.4669626,-3.7298865,7.854436,4.132322,2
-1.8266977005746068,-2.786467799531404,-1.1056368,3.051624,6.3561077,4.5534425,2
-2.8846389151893375,-2.4115848525872727,1.2865796,6.7267165,6.539032,5.270031,2
-2.706454072272149,-2.540022964231816,3.629683,10.170345,6.314548,5.770912,2
-0.7224409857667093,-2.0572750155998247,8.511671,-9.663595,7.293115,2.9277709,3
-1.7184069823029393,3.3292078996942784,-3.8473122,27.752167,-0.34633285,2.2353046,1
0.4164903496608144,-1.0954530897920371,0.24632038,-12.497974,7.2437105,2.7657638,3
-1.9993417802443103,-1.7762328802308747,-4.7579293,0.35226354,7.0103545,4.4553785,2
-0.49962143923106506,3.230259969490474,-10.452019,26.484554,-0.97336686,1.6993737,1
-2.223138330158033,-3.714979405082244,1.9604564,4.7516155,7.0213356,5.2098045,2
-1.8185895943017785,-2.0307501178933234,8.313911,-3.4139612,6.775315,4.052349,2
1.064594997123003,-0.9411847681258751,6.140498,-10.942591,7.668978,2.3220954,3
-1.0651555519130993,3.939438408981517,-15.043375,31.420721,-1.9055188,1.9175732,1
4.265610731235723,1.46851725881563,0.9674788,-29.82416,8.173788,0.79707825,0
-2.2640066718530916,3.0251366963453408,-10.254186,30.70008,-1.0470068,2.9506922,1
-0.41750062053234277,-1.444439404298056,1.3533026,-6.228465,8.242899,3.7927537,3
-1.6292370000832848,-2.489763183317704,-7.9985523,-1.6281894,7.6635394,4.652605,2
-2.4484673530723864,-3.4777034601716585,12.18764,4.2467074,6.690582,5.379328,2
0.7077483188688584,-2.014786293091417,-3.9038188,-13.738489,6.9410343,2.9400177,3
4.378705424669977,1.5674008611034365,3.775664,-28.418867,9.298529,0.19105032,0
-2.2707518317436177,-3.024023641918474,10.662973,1.6146121,6.0255017,4.955197,2
-2.338184473384951,3.0364231844510865,-6.1866055,33.823856,-1.1485116,2.0848613,1
-2.7887703209110035,4.200367707325946,-9.505935,24.362015,-1.1960639,2.044854,1
3.980984974714042,1.3532094923376399,2.8123996,-29.952757,8.854843,0.3120186,0
3.643829171196428,-0.10820552681517785,6.211916,-23.569225,8.386822,0.48591545,0
-1.6495572852377953,4.322521369964407,-14.191101,32.346474,-1.7942666,2.1945763,1
3.7314267612162557,0.9279478046267198,7.5105896,-24.907335,9.460921,0.93810046,0
1.3281440049304891,-0.47156948224388257,5.8888,-14.628227,7.2952747,1.6638969,3
-2.4406739186622954,-3.667852840705089,6.5466204,1.7470474,7.323087,5.4292707,2
1.1478741759897628,-1.3164588960201868,1.6003296,-11.934866,6.869502,2.9489763,3
-0.7445129914431554,3.003787418530482,-16.610073,23.45674,-1.926359,1.963442,1
-0.42183775307434074,4.9143152999115705,-17.60829,28.70799,-1.9128826,1.8596412,1
4.508394710371987,0.6069789778432941,4.482421,-25.701265,8.714125,0.38936004,0
4.221261907961608,0.44496109362772773,-0.76762474,-30.26471,9.157507,0.6117279,0
1.0438501316130633,-1.0768070474425304,4.753866,-10.981943,7.738492,2.6249602,3
-1.110771977102842,3.7157335540620493,-19.098967,24.740177,-1.5336878,3.0116482,1
-1.7189312611684509,3.0277116708876353,-8.257598,22.652061,-0.7237264,1.7001885,1
-2.383728542900753,-2.5359332244721235,5.5106997,-2.2462943,7.955872,5.204582,2
0.04426595154629175,-0.8039543922021886,-0.64422715,-16.473358,8.537941,2.8623521,3
-0.6816322577978128,-1.0091193456758454,1.7909032,-3.799752,7.318237,3.5351448,3
2.99909059464556,-0.5114161610955241,-3.6736138,-24.63655,8.271744,0.5585618,0
-1.8982985133997023,-3.8407501880108392,-3.6962836,-2.2068172,7.5119925,5.014977,2
-1.37921156915026,3.2081368513292787,-7.6739173,32.95891,-1.2715894,2.994278,1
-2.3910038560549594,2.6875980418525423,-9.820433,21.928108,-1.6376518,2.1827192,1
3.36524423824264,-0.19004538894185952,7.063442,-25.336784,9.496896,0.84742486,0
-2.018221064614345,-2.385482797904623,-2.7233005,3.3296735,6.312147,4.753038,2
-0.11728959649658129,3.5007403648987947,-12.863141,29.174046,-1.9603873,2.495277,1
-1.4724917726856683,2.780937420699983,-13.139609,21.208223,-1.0831741,1.5989573,1
2.6717566840904907,1.0723854253197422,0.686217,-32.41016,9.482756,0.29562554,0
-0.526276173929745,3.772563342826852,-6.785252,23.58236,-1.0060977,1.8632067,1
-2.1520155257449534,3.9034817749008286,-9.051849,32.661495,-1.202551,3.1310308,1
-1.7595213662707432,-1.507061602945297,5.2901316,9.872866,6.35141,5.5075126,2
3.671989207763032,-1.4688973914696648,3.5619583,-24.687403,8.728299,1.1673864,0
-0.5612723106816145,-0.7356156184230118,-3.7913048,4.387445,6.0140767,4.3269672,2
-1.7583169276679251,4.021612829091066,-17.087763,29.66855,-1.8411299,1.7517608,1
-1.3578277576327553,-3.0013949538957236,6.418498,-2.8196862,7.3280005,5.726589,2
-0.6759869792638358,3.9651965459237237,-15.0269575,27.509518,-1.5619792,1.624625,1
-1.2099061141659515,4.373273065247201,-12.127049,26.890186,-1.0832057,1.6276681,1
1.1215735343711433,-1.462295232238198,2.7011263,-10.413476,8.340108,2.8157086,3
-1.8103001894804034,-1.4301537887452704,-3.306449,-6.4043083,7.5171156,4.512231,2
0.07667769247338405,-1.329668182813614,7.471028,-8.506722,7.003032,2.6864188,3
-2.3835994527748974,-2.371349521292797,-2.8762484,2.920515,6.0535245,4.641755,2
3.525684798455642,2.623890916622774,11.468268,-20.25505,9.416304,1.0551044,0
-2.353690150464645,-2.8349836952373093,3.880589,8.602907,6.46923,5.7076454,2
-1.252645309952665,-3.158563389779415,7.9443955,5.4676776,6.0666447,4.880409,2
-2.1998451461017354,3.3405851391362034,-12.94736,27.926168,-1.9920912,2.3781686,1
-1.722217509434988,2.83894342170912,-10.85912,25.20093,-1.0323595,1.8337187,1
1.1500926738716262,-1.429541897650134,0.3948531,-10.290145,8.04941,2.8598115,3
-3.7217714764945358,-2.5971339898263706,5.309939,-1.2918594,8.059947,5.115541,2
4.641536557127218,-1.4115058643445504,5.286865,-27.422129,8.951699,0.21993364,0
2.3017324147076534,-0.006615978506608986,1.3103435,-25.723219,8.916711,0.85974836,0
4.605604506432675,0.43195414453491293,4.6872997,-24.614975,8.676009,0.4040667,0
-1.8423601786377248,-2.2462422476816353,-2.7378697,6.871866,6.300495,4.6642447,2
5.084847851543408,2.1076824484738985,7.2132115,-20.63049,8.240428,0.9324299,0
-3.1906168982177223,-2.3785446553913117,-0.9840278,2.4901757,6.281118,4.391843,2
-2.7663857444795243,2.0900182303203905,-8.069202,21.127325,-1.1711174,2.122331,1
0.4284738584711375,-0.43199898996374875,-0.93641883,-14.480838,7.874465,2.7271938,3
-1.3322200386764798,2.913885028255828,-11.080967,29.04549,-1.0973314,2.5668614,1
-2.2199334165149835,4.325482206658508,-7.813056,31.623758,-0.89544,3.245122,1
-3.4010964601135028,-2.3387584000675634,-1.4461318,-0.4934517,6.7097754,4.5603786,2
-1.9452466072098045,4.450987247228853,-10.966771,32.72359,-0.8773978,3.057066,1
3.317197152877464,1.003011738811116,4.3256493,-23.888079,8.651571,0.49908718,0
1.52520628519868,-1.4538777298871615,3.542853,-11.706036,7.7573853,2.4205804,3
5.728804855354664,-1.9875672409721916,10.760666,-27.776932,8.118552,-0.00922064,0
-2.9200554382288995,-3.449561334976566,12.41579,5.8871737,6.592697,4.9477224,2
-2.2445184764566077,3.245983001924625,-9.573013,24.498129,-1.2961292,2.0063193,1
2.461994654705512,1.2300786300954196,11.84516,-19.445177,9.108964,1.580561,0
-3.208631220269867,-2.8843282594978215,1.6583265,11.992732,6.0013833,4.6705055,2
5.27610184910256,1.6020585350855112,4.704047,-29.317104,9.204051,-0.083962575,0
3.149429182845699,-0.2442162094962547,12.697135,-24.747967,8.450065,0.014053403,0
3.472475091923567,0.15310299912901187,1.5096272,-22.796728,8.87036,1.2114868,0
-0.7756874156848295,3.0449079231846174,-3.2743587,32.80623,-0.5521773,2.8764613,1
3.567996420339052,-0.9733420177488162,4.50347,-25.730663,8.749138,0.3217213,0
3.4199449313447774,0.43469521421113705,1.2097641,-20.007957,7.936843,1.048645,0
-1.6748468180540665,2.5413464485597994,-12.51505,31.845684,-1.737648,2.1634471,1
-1.3351249997032242,-0.42167212651809427,-3.6801589,-4.2585936,7.58991,3.825403,2
-1.6596665790502232,-1.2272325711525176,-0.92339665,-2.0595045,7.0514107,3.6908097,2
4.996090680916068,0.986673925977037,7.536669,-20.354464,8.400517,0.90695775,0
-0.4499762424276379,-2.1909277037834585,-4.4248176,-8.296293,7.7033753,3.3917174,3
-2.854920789456061,-1.7977953306193215,-1.0847064,10.434339,7.484141,5.576053,2
-2.890296867403708,5.749857308813575,-15.398884,31.207096,-1.8235868,2.6116357,1
0.09294612707365986,-1.2850551747615802,0.57005024,-4.0346556,7.1189775,3.446637,3
-0.4930792881872049,-0.9162594872275708,-0.6033883,-6.5402703,8.378413,3.504257,3
-2.4774868455412395,-2.419443530218776,3.1320076,-1.0942556,7.913301,4.9852514,2
1.2389102838103228,-2.3273869065465056,6.7509956,-14.548517,7.128583,1.9919114,3
4.726159740085846,-1.0699089260639738,5.239266,-32.69112,9.094052,-0.10892248,0
-3.212283011107114,-2.214459870974524,2.6794558,8.251359,6.717847,5.918141,2
3.328098607847411,0.33985299488268067,1.5103389,-33.790215,9.24097,-0.042472668,0
5.078327139506462,-0.411357151456138,1.101265,-25.889528,9.071756,0.67130214,0
0.4804669810257997,-2.0526937143483,3.596568,-13.845926,7.7450223,2.5656257,3
-2.236718662169417,3.9462508784211408,-14.903356,31.107601,-1.8906972,2.4906683,1
4.054431373126638,-0.2023163935057561,6.1550393,-28.793919,9.350889,-0.09632673,0
0.7207662254140145,-1.0960532405911343,-2.8210697,-18.844328,8.632311,2.388783,3
1.8758364793832651,-1.0319953391144177,7.4130864,-11.984144,7.3684916,2.1653967,3
2.748710736207337,-0.06361945727225074,-0.04525804,-28.002047,9.456091,1.1705399,0
-1.928029658322479,-1.9412100580869576,9.033347,-0.54061306,7.958063,5.1242733,2
3.696855232795727,0.06245343379761457,3.0717778,-23.899704,9.015506,1.0732757,0
0.5747913084716176,-1.8256654269433934,3.127304,-7.4704585,7.2455373,3.4711883,3
-2.931296121485415,-1.9356561279175495,4.1735153,8.720607,6.534662,5.9467835,2
-0.27716379379133904,-0.11857920441288314,-5.6641984,-12.3344345,8.504648,3.0571487,3
4.681956931041163,-0.4961768062572374,4.511183,-29.458694,8.877749,0.19395776,0
4.622019387185685,-1.0441136016200336,12.154215,-28.100979,8.100326,-0.10324052,0
-0.6978585922234843,-1.5864038475063222,6.687089,-0.25700134,7.917872,5.0877986,2
-2.2858312588232153,-1.8866547955709931,-2.275457,6.414068,6.4056945,4.6078615,2
-2.927727257476227,-2.389731481524121,7.584612,9.266389,6.9132977,4.8461204,2
1.5684192702101836,-1.8298130697224626,-2.4348862,-16.648388,8.207032,3.0895433,3
